TVDSS,WELL,NPHI,GR,RHOB,PHIE,VSH
3234.53765,N18,0.07419,18.347,2.387,0.138954,0.0
3234.69005,N18,0.0669,18.501,2.395,0.132622,0.0
3234.84245,N18,0.05961,27.39,2.402,0.126523,0.0
3234.99485,N18,0.07408,31.195,2.431,0.124371,0.0
3235.14725,N18,0.09535,35.0,2.462,0.108136,0.0837
3236.82365,N18,0.09778,23.994,2.461,0.12535,0.0
3236.97605,N18,0.12942,30.49,2.452,0.12211,0.1098
3237.12845,N18,0.17177,38.159,2.443,0.115561,0.2632
3237.28086,N18,0.22428,46.94,2.448,0.10438,0.4388
3237.58566,N18,0.21295,64.5,2.454,0.087876,0.4922
3237.73806,N18,0.17209,55.254,2.455,0.096231,0.3467
3237.89046,N18,0.14664,45.082,2.424,0.124023,0.1923
3238.04286,N18,0.15219,34.911,2.393,0.144925,0.1499
3238.19526,N18,0.16495,34.646,2.361,0.164917,0.1314
3238.34766,N18,0.17736,38.371,2.347,0.172137,0.148
3238.50006,N18,0.1852,42.096,2.357,0.163256,0.1965
3238.65246,N18,0.19305,45.114,2.38,0.145101,0.2712
3238.80486,N18,0.19489,44.833,2.395,0.133991,0.3081
3238.95726,N18,0.19282,47.761,2.401,0.130173,0.3127
3239.10966,N18,0.18056,47.353,2.402,0.13219,0.2704
3239.26206,N18,0.17837,50.691,2.401,0.133391,0.2605
3239.41446,N18,0.18323,49.715,2.394,0.137303,0.264
3239.56686,N18,0.18809,49.24,2.386,0.141927,0.2654
3239.71926,N18,0.18792,49.825,2.406,0.127697,0.3051
3239.87166,N18,0.18584,50.41,2.426,0.113889,0.3379
3240.02406,N18,0.1935,51.204,2.447,0.097196,0.4079
3240.17646,N18,0.20116,54.331,2.493,0.062623,0.5282
3240.32886,N18,0.21433,57.457,2.524,0.037462,0.6383
3240.48126,N18,0.2339,60.583,2.54,0.027393,0.7117
3240.63366,N18,0.25347,62.402,2.557,0.025166,0.748
3240.78606,N18,0.27304,63.012,2.575,0.028205,0.7602
3240.93846,N18,0.24601,57.882,2.593,0.030795,0.6576
3241.09086,N18,0.2045,48.53,2.565,0.054059,0.4706
3241.24326,N18,0.1759,39.179,2.507,0.091622,0.2836
3241.39566,N18,0.14731,34.748,2.449,0.115327,0.195
3241.54806,N18,0.12654,32.828,2.428,0.125617,0.1278
3241.70046,N18,0.10288,29.802,2.425,0.132995,0.0363
3241.85286,N18,0.09787,20.708,2.422,0.138537,0.0
3242.00526,N18,0.09287,16.968,2.419,0.137256,0.0
3242.15766,N18,0.10479,16.236,2.414,0.144368,0.0
3242.31006,N18,0.1136,15.504,2.398,0.153742,0.0
3242.46246,N18,0.11424,15.613,2.373,0.162553,0.0
3242.61486,N18,0.11049,15.857,2.37,0.16188,0.0
3242.76726,N18,0.10673,15.429,2.369,0.160506,0.0
3242.91966,N18,0.10819,14.941,2.369,0.161173,0.0
3243.07206,N18,0.10994,14.454,2.353,0.167412,0.0
3243.22446,N18,0.11169,13.989,2.343,0.171617,0.0
3243.37686,N18,0.10994,14.233,2.34,0.171833,0.0
3243.52926,N18,0.10637,14.477,2.342,0.169499,0.0
3243.68166,N18,0.09907,14.721,2.353,0.162362,0.0
3243.83406,N18,0.09698,15.643,2.366,0.156995,0.0
3243.98646,N18,0.10548,20.521,2.38,0.156203,0.0
3244.13886,N18,0.12328,26.786,2.41,0.147344,0.0357
3244.29126,N18,0.23288,38.494,2.444,0.142022,0.2699
3245.51046,N18,0.20883,50.665,2.271,0.219304,0.1085
